DOC-1200,Nacional,Inglés,Elegibilidad del Producto,FHA,580,FHA Fijo a 30 Años,5.25% - 6.0%,"$3,200",15 años,43,Casa Unifamiliar
DOC-1201,Nacional,Inglés,Elegibilidad del Producto,FHA,580,FHA Ajustable 5/1,5.0% - 5.75%,"$3,100",30 años,50,Casa Manufacturada
DOC-1202,Nacional,Inglés,Elegibilidad del Producto,Convencional,660,Convencional Fijo a 30 Años,6.0% - 6.75%,"$4,000",5/1 ARM,43,Vivienda Multifamiliar
DOC-1203,Nacional,Inglés,Elegibilidad del Producto,Convencional,680,Convencional Fijo a 15 Años,5.0% - 5.85%,"$3,800",5/1 ARM,43,Vivienda Multifamiliar
DOC-1204,Nacional,Inglés,Elegibilidad del Producto,VA,620,VA Fijo a 30 Años,5.5% - 6.25%,"$3,000",10 años,50,Casa Unifamiliar
DOC-1205,Nacional,Inglés,Elegibilidad del Producto,USDA,640,USDA Rural a 30 Años,4.75% - 5.5%,"$2,900",10 años,43,Vivienda Multifamiliar
DOC-1206,Nacional,Inglés,Elegibilidad del Producto,Jumbo,720,Jumbo Fijo a 30 Años,6.75% - 7.5%,"$6,500",5/1 ARM,45,Vivienda Multifamiliar
DOC-1207,Nacional,Inglés,Elegibilidad del Producto,HELOC,700,Línea de Crédito sobre el Valor de la Vivienda,7.0% - 8.0%,"$1,500",30 años,41,Vivienda Multifamiliar
DOC-1208,Nacional,Inglés,Elegibilidad del Producto,Convencional,660,Convencional ARM 5/1,6.0% - 6.75%,"$3,900",30 años,45,Vivienda Multifamiliar
DOC-1209,Nacional,Inglés,Elegibilidad del Producto,FHA,600,FHA Refinanciación Simplificada,5.25% - 6.0%,"$2,700",30 años,43,Casa Unifamiliar
DOC-1210,Nacional,Inglés,Elegibilidad del Producto,Convencional,620,HomeReady (FNMA),5.75% - 6.5%,"$3,600",5/1 ARM,45,Condominio
DOC-1211,Nacional,Inglés,Elegibilidad del Producto,Convencional,620,Home Possible (FHLMC),5.75% - 6.5%,"$3,600",10 años,41,Condominio
DOC-1212,Nacional,Inglés,Elegibilidad del Producto,Non-QM,660,Cartera Non-QM,7.5% - 8.25%,"$5,000",30 años,50,Vivienda Multifamiliar
DOC-1213,Nacional,Inglés,Elegibilidad del Producto,ITIN,620,Hipoteca Fija ITIN,7.0% - 7.75%,"$4,800",5/1 ARM,43,Casa Manufacturada
DOC-1214,Nacional,Inglés,Elegibilidad del Producto,FHA,600,FHA para Casa Manufacturada,5.5% - 6.25%,"$3,300",5/1 ARM,45,Vivienda Multifamiliar